id,course_id,title id,  sub heading,create_at,update_at
1,1,1,Variables,,
2,1,1,Built-in-types,,
3,1,1,Functions,,
4,1,1,Operations,,
5,1,1,Control flow statements,,
6,1,1,commets,,
7,1,1,Dart code formating,,
8,1,1,Strategy,,
9,1,2,Exceptions ,,
10,1,2,Classes (OOP & Mixins include),,
11,1,2,Generics,,
12,1,2,Asynchronous,,
13,1,2,File I\O (not on the web),,
14,1,2,Network I\O ,,
15,1,2,JSON conversions and handling,,
16,1,3,Generators (Iterable & Stream),,
17,1,3,Typedefs,,
18,1,3,Metadata (Annotations),,
19,1,3,Whole documentation of effective darts,,
20,1,3,https:\\dart.dev\guides-\language\effective-dart,,
21,1,3,Isolates,,
22,1,3,Customizing ,,
23,1,3,"Interoperability with native languages ( C, CPP, RUST, etc.) using dart ",,
24,1,3,Running and interacting with other processes,,
25,1,4,Install (Window) ,,
26,1,4,System Requirements ,,
27,1,4,Get Flutter SDK,,
28,1,4,Andriod Setup,,
29,1,4,Set up your Android Device,,
30,1,4,Setup the Android Emulator,,
31,1,4,Set up an editor ,,
32,1,4,Install the Flutter & Dart Plugin,,
33,1,4,Creat flutter project ,,
34,1,4,Understanding the structure of Flutter project ,,
35,1,4,Fixing Configuration ,,
36,1,4,Creating first project in flutter ,,
37,1,4,Run Project ,,
38,1,4,Actual Hello World,,
39,1,4,Scaffold ,,
40,1,4,Container and their role ,,
41,1,4,Row and Coulmn ,,
42,1,4,"Text, Center, paddingF:\Software\flutter\flutter",,
43,1,4,Text field ,,
44,1,4,Button,,
45,1,4,Stack ,,
46,1,4,Form,,
47,1,4,Alert Dialog,,
48,1,4,Icons,,
49,1,4,Card,,
50,1,4,Tab Bar,,
51,1,4,Drawer,,
52,1,4,List ,,
53,1,4,Gride view,,
54,1,4,Toast ,,
55,1,4,Cheekbox,,
56,1,4,Radio Button,,
57,1,4,Progressn Bar ,,
58,1,4,Tooltip,,
59,1,4,Slider,,
60,1,4,Switch,,
61,1,4,Chart ,,
62,1,4,Navigation Bar,,
63,1,4,Themes ,,
64,1,4,Table,,
65,1,4,Calendar,,
66,1,4,Animation,,
67,1,5,,,
68,1,5,App Bar Bottom and Top ,,
69,1,5,Backdrop,,
70,1,5,Banner,,
71,1,5,Bottom Navigation,,
72,1,5,Buttons,,
73,1,5,FAB,,
74,1,5,Cards,,
75,1,5,Checkebox,,
76,1,5,Chips,,
77,1,5,Data Tables,,
78,1,5,Data Picker,,
79,1,5,Dialogs ,,
80,1,5,Dividers,,
81,1,5,Image list ,,
82,1,5,List,,
83,1,5,Navigation Drawer,,
84,1,5,Navigation Rail,,
85,1,5,Progress Indicater,,
86,1,5,Radio Button ,,
87,1,5,Sheets: Bottom\Sides,,
88,1,5,Sliders ,,
89,1,5,Snake bars ,,
90,1,5,Switches,,
91,1,5,Tabs ,,
92,1,5,Text field ,,
93,1,5,Time Picker,,
94,1,5,Tooltips ,,
95,1,5,Inkwell flutter,,
96,1,5,List view\ List Title,,
97,1,6,Stateful vs Stateless,,
98,1,6,"Defining ""State""",,
99,1,6,Set state method ,,
100,1,7,Basic Flutter Layout concepts,,
101,1,7,Row and Column classes,,
102,1,7,Axis size and Alignments,,
103,1,7,Main Axis Alignments ,,
104,1,7,Cross Axis Alignments ,,
105,1,7,Flexible widgets ,,
106,1,7,Expanded widgets,,
107,1,7,Size Box Widgets,,
108,1,7,Spacer Widgets,,
109,1,7,Text Widgets ,,
110,1,7,Icon Widgets,,
111,1,7,Image Widgets,,
112,1,8,Navigation and Rousts,,
113,1,8,Applying Push () using Material page route,,
114,1,8,Applying pop () ,,
115,1,8,Navigator,,
116,1,8,Route ,,
117,1,8,Anonymous Routes ,,
118,1,8,Named,,
119,1,8,Advance named routes with on Generate Route ,,
120,1,9,Form Validation in flutter,,
121,1,9,Designing form submission page ,,
122,1,9,Gesture (Advance),,
123,1,9,Gallery access in Flutter ,,
124,1,9,Camera Access ,,
125,1,9,Background local Notification,,
126,1,9,Restricted landscape mode,,
127,1,10,Applying Theme Data ,,
128,1,10,Basic screen layout ,,
129,1,10,Custom fonts (Google fonts),,
130,1,11,Action and shortcuts ,,
131,1,11,Keyboard focus,,
132,1,11,Gestures ,,
133,1,11,Slivers,,
134,1,12,Future function ,,
135,1,12,Async and await,,
136,1,13,Animation in Route Transition,,
137,1,13,Phy Simulation in Animation,,
138,1,13,Radical Hero Animation,,
139,1,13,Hinge Animation,,
140,1,13,Lottie Animation,,
141,1,13,Rive Animation ,,
142,1,13,Progress Indicator ,,
143,1,13,Animation the properties of Container,,
144,1,14,JSON and serialization ,,
145,1,14,Delete data on the Internet,,
146,1,14,Fetch data ,,
147,1,14,Make Authentic request ,,
148,1,14,Parse JSON  in the background send data ,,
149,1,14,Update data,,
150,1,14,Work with web sockets,,
151,1,15,Persist data with SQ lite ,,
152,1,15,Read and write files ,,
153,1,15,Stored shared preference key value data on desk,,
154,1,15,Add multiple touch ripples,,
155,1,15,Handle taps ,,
156,1,15,Implement swipe to dismiss,,
157,1,16,Add a drawer to a screen ,,
158,1,16,Display snake bar ,,
159,1,16,Export font from a package,,
160,1,16,Update the UI based on orientation,,
161,1,16,Use a custom font,,
162,1,16,Use theme to share color and & font style ,,
163,1,16,Work with tabs,,
164,1,17,Build a form with validation ,,
165,1,17,Create and style a text field ,,
166,1,17,Focus & text field ,,
167,1,17,Handle changes to a text field ,,
168,1,17,Retrieve the value of a text field ,,
169,1,18,Creat a download button,,
170,1,18,Creat Nested Navigation flow,,
171,1,18,Create photo filter carousel ,,
172,1,18,Create scrolling parallax Effects ,,
173,1,18,Create shimmer loading effects,,
174,1,18,Staggered menu Animation,,
175,1,18,Tying indicater ,,
176,1,18,Expandable Fab,,
177,1,18,Gradient chat bubbles,,
178,1,19,Display images from internet ,,
179,1,19,Fade in images in a placeholder,,
180,1,19,Work with cached images,,
181,1,20,Create a build list ,,
182,1,20,Create a horizontal list ,,
183,1,20,Create list different types of items ,,
184,1,20,Place of Floating app bar above list ,,
185,1,20,Use list ,,
186,1,20,Work with long lists,,
187,1,21,Animated a widget across screens ,,
188,1,21,Navigate to a new screen and back ,,
189,1,21,Navigate with named route,,
190,1,21,Return data from a screen ,,
191,1,21,Send data to a new screen,,
192,1,22,,,
193,1,23,,,
194,1,24,,,
195,1,25,,,
196,1,26,Report error to a services,,
197,1,27,Integration testing ,,
198,1,27,Performance profiling ,,
199,1,27,Unite testing (intro),,
200,1,27,Mock dependencies using Mockito,,
201,1,27,Widgets Testing (intro),,
202,1,27,Find widgets ,,
203,1,27,Hndle Scrolling ,,
204,1,27,"Tabs, drag and enter test",,
205,1,28,,,
206,1,29,,,
207,1,30,,,
208,1,31,,,
209,1,32,,,
210,1,33,,,
211,1,34,,,
212,1,35,,,
213,1,36,,,
214,1,37,,,
215,1,38,Send Email with attachment,,
216,1,38,Upload Flutter project on Github,,
217,1,38,Geolocation and Geolocator Plugin ,,
218,1,38,QR code Generator & Scanner,,
219,1,38,Create & Perview in flutter ,,
220,1,38,Payment Getway Integration ,,
221,1,39,Route Management ,,
222,1,39,Advance Features & API's ,,
223,1,39,State Management & Dependence injection,,
224,1,39,Dynamic Theme ,,
225,1,39,TODO App using GetX,,
226,1,40,Flutter Hive Database,,
227,1,40,Shared Preferrence,,
